Name	Accession	Category	Origin	Source_Species	GenGroup90	GenGroup80	GenGroup
PI_178939_LSP	KP:GERM28950	Germplasm_Accession	Turkey	Lens_culinaris	8	8	8
PI_178952	KP:GERM28951	Germplasm_Accession	Turkey	Lens_culinaris	1	1	1
PI_178971_LSP	KP:GERM28952	Germplasm_Accession	Turkey	Lens_culinaris	6	6	6
PI_179324_LSP	KP:GERM28953	Germplasm_Accession	Syria	Lens_culinaris	2	2	2
PI_179330	KP:GERM28954	Germplasm_Accession	Turkey	Lens_culinaris	1	1	1
PI_181771_LSP	KP:GERM28955	Germplasm_Accession	Lebanon	Lens_culinaris	6	6	6
PI_181886_LSP	KP:GERM28956	Germplasm_Accession	Syria	Lens_culinaris		7	7
PI_182217_LSP	KP:GERM28957	Germplasm_Accession	Turkey	Lens_culinaris		1	1
PI_193546	KP:GERM28958	Germplasm_Accession	Ethiopia	Lens_culinaris	2	2	2
PI_193547_LSP	KP:GERM28959	Germplasm_Accession	Ethiopia	Lens_culinaris	6	6	6
PI_193548_LSP	KP:GERM28960	Germplasm_Accession	Ethiopia	Lens_culinaris	5	5	5
PI_193550	KP:GERM28961	Germplasm_Accession	Ethiopia	Lens_culinaris	5	5	5
PI_207492_LSP	KP:GERM28962	Germplasm_Accession	Afghanistan	Lens_culinaris	6	6	6
PI_209858	KP:GERM28964	Germplasm_Accession	Greece	Lens_culinaris	5	5	5
PI_211052_LSP	KP:GERM28965	Germplasm_Accession	Afghanistan	Lens_culinaris	6	6	6
PI_212100_LSP	KP:GERM28966	Germplasm_Accession	Afghanistan	Lens_culinaris	6	6	6
PI_212610_LSP	KP:GERM28967	Germplasm_Accession	Afghanistan	Lens_culinaris	6	6	6
PI_217949_LSP	KP:GERM28968	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
PI_238758_LSP	KP:GERM28969	Germplasm_Accession	Belgium	Lens_culinaris			8
PI_244046	KP:GERM28970	Germplasm_Accession	Yemen	Lens_culinaris	5	5	5
PI_250156_LSP	KP:GERM28971	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
PI_250158_LSP	KP:GERM28972	Germplasm_Accession	Pakistan	Lens_culinaris	4	4	4
PI_251248_LSP	KP:GERM28973	Germplasm_Accession	Egypt	Lens_culinaris	5	5	5
PI_273664_LSP	KP:GERM28974	Germplasm_Accession	Ethiopia	Lens_culinaris	4	4	4
PI_280686	KP:GERM28975	Germplasm_Accession	Egypt	Lens_culinaris			5
PI_283604_LSP	KP:GERM28976	Germplasm_Accession	Portugal	Lens_culinaris	7	7	7
PI_289066	KP:GERM28977	Germplasm_Accession	Czech_Republic	Lens_culinaris	5	5	5
PI_289073_LSP	KP:GERM28978	Germplasm_Accession	Hungary	Lens_culinaris	8	8	8
PI_289079_LSP	KP:GERM28979	Germplasm_Accession	Egypt	Lens_culinaris	8	8	8
PI_290716_LSP	KP:GERM28980	Germplasm_Accession	United_Kingdom	Lens_culinaris	6	6	6
PI_297285_LSP	KP:GERM28981	Germplasm_Accession	Argentina	Lens_culinaris			8
PI_297287	KP:GERM28982	Germplasm_Accession	Argentina	Lens_culinaris			7
PI_297754_LSP	KP:GERM28983	Germplasm_Accession	Greece	Lens_culinaris	8	8	8
PI_297767	KP:GERM28984	Germplasm_Accession	Greece	Lens_culinaris	7	7	7
PI_297772_LSP	KP:GERM28985	Germplasm_Accession	Greece	Lens_culinaris	2	2	2
PI_297783	KP:GERM28986	Germplasm_Accession	Ethiopia	Lens_culinaris	5	5	5
PI_297787_LSP	KP:GERM28987	Germplasm_Accession	Greece	Lens_culinaris	6	6	6
PI_298023_LSP	KP:GERM28988	Germplasm_Accession	Turkey	Lens_culinaris		1	1
PI_298121_LSP	KP:GERM28989	Germplasm_Accession	France	Lens_culinaris			8
PI_298122_LSP	KP:GERM28990	Germplasm_Accession	France	Lens_culinaris	8	8	8
PI_298357_LSP	KP:GERM28991	Germplasm_Accession	Egypt	Lens_culinaris		1	1
PI_298631_LSP	KP:GERM28992	Germplasm_Accession	Peru	Lens_culinaris	7	7	7
PI_298644_LSP	KP:GERM28993	Germplasm_Accession	Spain	Lens_culinaris		7	7
PI_298645	KP:GERM28994	Germplasm_Accession	Spain	Lens_culinaris			7
PI_298921	KP:GERM28995	Germplasm_Accession	Italy	Lens_culinaris			7
PI_298922_LSP	KP:GERM28996	Germplasm_Accession	Italy	Lens_culinaris			8
PI_298923_LSP	KP:GERM28997	Germplasm_Accession	Italy	Lens_culinaris		1	1
PI_299116_LSP	KP:GERM28998	Germplasm_Accession	Mexico	Lens_culinaris		8	8
PI_299120_LSP	KP:GERM28999	Germplasm_Accession	Mexico	Lens_culinaris			8
PI_299121_LSP	KP:GERM29000	Germplasm_Accession	Mexico	Lens_culinaris			8
PI_299126_LSP	KP:GERM29001	Germplasm_Accession	Mexico	Lens_culinaris			8
PI_299163_LSP	KP:GERM29002	Germplasm_Accession	Chile	Lens_culinaris	7	7	7
PI_299164_LSP	KP:GERM29003	Germplasm_Accession	Chile	Lens_culinaris			7
PI_299165	KP:GERM29004	Germplasm_Accession	Chile	Lens_culinaris		7	7
PI_299177_LSP	KP:GERM29005	Germplasm_Accession	Chile	Lens_culinaris			7
PI_299237_LSP	KP:GERM29006	Germplasm_Accession	Chile	Lens_culinaris			3
PI_299289	KP:GERM29007	Germplasm_Accession	Chile	Lens_culinaris			1
PI_299312	KP:GERM29008	Germplasm_Accession	Chile	Lens_culinaris	7	7	7
PI_299345	KP:GERM29009	Germplasm_Accession	Chile	Lens_culinaris	7	7	7
PI_299351	KP:GERM29010	Germplasm_Accession	Chile	Lens_culinaris	3	3	3
PI_299366_LSP	KP:GERM29011	Germplasm_Accession	Chile	Lens_culinaris		7	7
PI_299375_LSP	KP:GERM29012	Germplasm_Accession	Chile	Lens_culinaris		7	7
PI_300250_LSP	KP:GERM29013	Germplasm_Accession	Syria	Lens_culinaris	2	2	2
PI_302398_LSP	KP:GERM29014	Germplasm_Accession	Jordan	Lens_culinaris			7
PI_308614_LSP	KP:GERM29015	Germplasm_Accession	Syria	Lens_culinaris	2	2	2
PI_311107_LSP	KP:GERM29016	Germplasm_Accession	Guatemala	Lens_culinaris	7	7	7
PI_312175_LSP	KP:GERM29017	Germplasm_Accession	Mexico	Lens_culinaris	8	8	8
PI_320935_LSP	KP:GERM29018	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_320936_LSP	KP:GERM29019	Germplasm_Accession	Russia	Lens_culinaris	8	8	8
PI_320937_LSP	KP:GERM29020	Germplasm_Accession	Germany	Lens_culinaris	8	8	8
PI_320941_LSP	KP:GERM29022	Germplasm_Accession	Ethiopia	Lens_culinaris	6	6	6
PI_320945_LSP	KP:GERM29023	Germplasm_Accession	Bulgaria	Lens_culinaris			8
PI_320946_LSP	KP:GERM29024	Germplasm_Accession	Palestine	Lens_culinaris			5
PI_320952_LSP	KP:GERM29025	Germplasm_Accession	Czech_Republic	Lens_culinaris	8	8	8
PI_320953_LSP	KP:GERM29026	Germplasm_Accession	Germany	Lens_culinaris	8	8	8
PI_320954_LSP	KP:GERM29027	Germplasm_Accession	Czech_Republic	Lens_culinaris	8	8	8
PI_329157_LSP	KP:GERM29028	Germplasm_Accession	Iran	Lens_culinaris	1	1	1
PI_329167_LSP	KP:GERM29029	Germplasm_Accession	Iran	Lens_culinaris			7
PI_339266_LSP	KP:GERM29030	Germplasm_Accession	Turkey	Lens_culinaris			1
PI_339283_LSP	KP:GERM29031	Germplasm_Accession	Turkey	Lens_culinaris			2
PI_339285	KP:GERM29032	Germplasm_Accession	Turkey	Lens_culinaris			2
PI_339289_LSP	KP:GERM29033	Germplasm_Accession	Turkey	Lens_culinaris		1	1
PI_339292_LSP	KP:GERM29034	Germplasm_Accession	Turkey	Lens_culinaris		1	1
PI_339296	KP:GERM29035	Germplasm_Accession	Turkey	Lens_culinaris	1	1	1
PI_343026_LSP	KP:GERM29036	Germplasm_Accession	Tajikistan	Lens_culinaris	6	6	6
PI_345627_LSP	KP:GERM29037	Germplasm_Accession	Ukraine	Lens_culinaris		8	8
