"Name"	"Name-vcf"	"Accession"	"Category"	"Origin"	"Source_Species"	"GenGroup90"	"GenGroup80"	"GenGroup"	"Long"	"Lat"	"Notes"
"ILL_11558"	"ILL_11558_AGL"	"KP:GERM28877"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_2507"	"ILL_2507_AGL"	"KP:GERM28884"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_3025"	"ILL_3025_AGL"	"KP:GERM28887"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_3347"	"ILL_3347_AGL"	"KP:GERM28889"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"IPL_220"	"IPL_220_AGL"	"KP:GERM28943"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_472136_LSP"	"PI_472136_LSP_AGL"	"KP:GERM29111"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_472327_LSP"	"PI_472327_LSP_AGL"	"KP:GERM29114"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_472416_LSP"	"PI_472416_LSP_AGL"	"KP:GERM29116"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_472488_LSP"	"PI_472488_LSP_AGL"	"KP:GERM29117"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_472559_LSP"	"PI_472559_LSP_AGL"	"KP:GERM29118"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_472561_LSP"	"PI_472561_LSP_AGL"	"KP:GERM29119"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_4609"	"ILL_4609_AGL"	"KP:GERM28895"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_217949_LSP"	"PI_217949_LSP_AGL"	"KP:GERM28968"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_250156_LSP"	"PI_250156_LSP_AGL"	"KP:GERM28971"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"	4	4	4	"na"	"na"	
"PI_250158_LSP"	"PI_250158_LSP_AGL"	"KP:GERM28972"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"	4	4	4	"na"	"na"	
"ILL_7663"	"ILL_7663_AGL"	"KP:GERM28922"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"ILL_7668"	"ILL_7668_AGL"	"KP:GERM28923"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"ILL_7979"	"ILL_7979_AGL"	"KP:GERM28928"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"ILL_9945"	"ILL_9945_AGL"	"KP:GERM28939"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"ILL_9977"	"ILL_9977_AGL"	"KP:GERM28940"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"ILL_9997"	"ILL_9997_AGL"	"KP:GERM28941"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"ILWL_118"	"ILWL_118_AGL"	"KP:GERM29142"	"Germplasm_Accession"	"Syria"	"Lens_orientalis"		4	4	"na"	"na"	
"PI_643451"	"PI_643451_AGL"	"KP:GERM29134"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"PI_643452"	"PI_643452_AGL"	"KP:GERM29135"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	"na"	"na"	
"IG_858"	"IG_858_AGL"	"KP:GERM28869"	"Germplasm_Accession"	"Algeria"	"Lens_culinaris"	4	4	4	36.3667	6.76667	
"ILL_9932"	"ILL_9932_AGL"	"KP:GERM28938"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			4	36.09	37.09	
"PI_426807"	"PI_426807_LSP_AGL"	"KP:GERM29057"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"	4	4	4	34.6175	71.971389	
"PI_426797_LSP"	"PI_426797_LSP_AGL"	"KP:GERM29056"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"	4	4	4	32.33333	74.35	
"PI_472380_LSP"	"PI_472380_LSP_AGL"	"KP:GERM29115"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	28.983333	77.7	
"PI_472205_LSP"	"PI_472205_LSP_AGL"	"KP:GERM29112"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	25.183333	85.516667	
"ILL_3597"	"ILL_3597_AGL"	"KP:GERM28891"	"Germplasm_Accession"	"India"	"Lens_culinaris"	4	4	4	22.3167	73.1667	
"PI_273664_LSP"	"PI_273664_LSP_AGL"	"KP:GERM28974"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	4	4	4	9.583333	41.866667	
"PI_289066"	"PI_289066_AGL"	"KP:GERM28977"	"Germplasm_Accession"	"Czech_Republic"	"Lens_culinaris"	5	5	5	"na"	"na"	"Hungary"
"CN_105777"	"CN_105777_AGL"	"KP:GERM28849"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"			5	"na"	"na"	
"CN_105791"	"CN_105791_AGL"	"KP:GERM28851"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"			5	"na"	"na"	
"CN_105895"	"CN_105895_AGL"	"KP:GERM28856"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"	5	5	5	"na"	"na"	
"PI_251248_LSP"	"PI_251248_LSP_AGL"	"KP:GERM28973"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"	5	5	5	"na"	"na"	
"PI_280686"	"PI_280686_AGL"	"KP:GERM28975"	"Germplasm_Accession"	"Egypt"	"Lens_culinaris"			5	"na"	"na"	
"CN_105789"	"CN_105789_AGL"	"KP:GERM28850"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	5	5	5	"na"	"na"	
"ILL_7978"	"ILL_7978_AGL"	"KP:GERM28927"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"			5	"na"	"na"	"Syria"
"PI_193548_LSP"	"PI_193548_LSP_AGL"	"KP:GERM28960"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	5	5	5	"na"	"na"	
"PI_193550"	"PI_193550_AGL"	"KP:GERM28961"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	5	5	5	"na"	"na"	
"PI_297783"	"PI_297783_AGL"	"KP:GERM28986"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	5	5	5	"na"	"na"	
"PI_209858"	"PI_209858_LSP_AGL"	"KP:GERM28964"	"Germplasm_Accession"	"Greece"	"Lens_culinaris"	5	5	5	"na"	"na"	
"ILL_2580"	"ILL_2580_AGL"	"KP:GERM28885"	"Germplasm_Accession"	"India"	"Lens_culinaris"			5	"na"	"na"	
"ILL_5883"	"ILL_5883_AGL"	"KP:GERM28910"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"	5	5	5	"na"	"na"	
"W6_27763_LSP"	"W6_27763_LSP_AGL"	"KP:GERM29139"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"	5	5	5	"na"	"na"	
"PI_320946_LSP"	"PI_320946_LSP_AGL"	"KP:GERM29024"	"Germplasm_Accession"	"Palestine"	"Lens_culinaris"			5	"na"	"na"	
"ILL_6821"	"ILL_6821_AGL"	"KP:GERM28918"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"	5	5	5	"na"	"na"	
"ILL_7946"	"ILL_7946_AGL"	"KP:GERM28926"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"	5	5	5	"na"	"na"	
"ILL_9888"	"ILL_9888_AGL"	"KP:GERM28937"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			5	"na"	"na"	
"PI_244046"	"PI_244046_AGL"	"KP:GERM28970"	"Germplasm_Accession"	"Yemen"	"Lens_culinaris"	5	5	5	"na"	"na"	
"ILL_11547"	"ILL_11547_AGL"	"KP:GERM28872"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"			5	39.5	30.03	"Turkey"
"ILL_2194"	"ILL_2194_AGL"	"KP:GERM28883"	"Germplasm_Accession"	"Pakistan"	"Lens_culinaris"			5	35.6833	73.8667	
"ILL_5209"	"ILL_5209_AGL"	"KP:GERM28906"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"	5	5	5	32.6	35.85	
"PI_374118"	"PI_374118_AGL"	"KP:GERM29044"	"Germplasm_Accession"	"Morocco"	"Lens_culinaris"	5	5	5	31.7	-8.2	
"PI_420929_LSP"	"PI_420929_LSP_AGL"	"KP:GERM29052"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"	5	5	5	31.133333	35.640833	
"PI_420925_LSP"	"PI_420925_LSP_AGL"	"KP:GERM29051"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"	5	5	5	31.065556	35.696111	
"ILL_5151"	"ILL_5151_AGL"	"KP:GERM28905"	"Germplasm_Accession"	"India"	"Lens_culinaris"	5	5	5	22.5667	88.35	
"ILL_4768"	"ILL_4768_AGL"	"KP:GERM28898"	"Germplasm_Accession"	"Yemen"	"Lens_culinaris"	5	5	5	15.1667	44	
"ILL_5945"	"ILL_5945_AGL"	"KP:GERM28912"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	5	5	5	11.6667	38.5	
"CDC_REDWING"	"CDC_Redwing_AGL"	"KP:GERM28833"	"Germplasm_Accession"	"Canada"	"Lens_culinaris"			5			
"ILL_975"	"ILL_975_AGL"	"KP:GERM28936"	"Germplasm_Accession"	"Chile"	"Lens_culinaris"	5	5	5			
"ILL_358"	"ILL_358_AGL"	"KP:GERM28890"	"Germplasm_Accession"	"Mexico"	"Lens_culinaris"			5			
"PI_207492_LSP"	"PI_207492_LSP_AGL"	"KP:GERM28962"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_211052_LSP"	"PI_211052_LSP_AGL"	"KP:GERM28965"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_212100_LSP"	"PI_212100_LSP_AGL"	"KP:GERM28966"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_212610_LSP"	"PI_212610_LSP_AGL"	"KP:GERM28967"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"CN_105605"	"CN_105605_AGL"	"KP:GERM28845"	"Germplasm_Accession"	"Eritrea"	"Lens_culinaris"			6	"na"	"na"	
"PI_193547_LSP"	"PI_193547_LSP_AGL"	"KP:GERM28959"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_320941_LSP"	"PI_320941_LSP_AGL"	"KP:GERM29022"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_297787_LSP"	"PI_297787_LSP_AGL"	"KP:GERM28987"	"Germplasm_Accession"	"Greece"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_431630_LSP"	"PI_431630_LSP_AGL"	"KP:GERM29060"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_431684_LSP"	"PI_431684_LSP_AGL"	"KP:GERM29067"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_431873_LSP"	"PI_431873_LSP_AGL"	"KP:GERM29080"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"		6	6	"na"	"na"	
"PI_431888_LSP"	"PI_431888_LSP_AGL"	"KP:GERM29082"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"		6	6	"na"	"na"	
"PI_431923_LSP"	"PI_431923_LSP_AGL"	"KP:GERM29084"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_432000_LSP"	"PI_432000_LSP_AGL"	"KP:GERM29086"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_181771_LSP"	"PI_181771_LSP_AGL"	"KP:GERM28955"	"Germplasm_Accession"	"Lebanon"	"Lens_culinaris"	6	6	6	"na"	"na"	
"ILL_618"	"ILL_6182_AGL"	"KP:GERM28914"	"Germplasm_Accession"	"Tajikistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_343026_LSP"	"PI_343026_LSP_AGL"	"KP:GERM29036"	"Germplasm_Accession"	"Tajikistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_290716_LSP"	"PI_290716_LSP_AGL"	"KP:GERM28980"	"Germplasm_Accession"	"United_Kingdom"	"Lens_culinaris"	6	6	6	"na"	"na"	
"ILL_4875"	"ILL_4875_AGL"	"KP:GERM28902"	"Germplasm_Accession"	"Uzbekistan"	"Lens_culinaris"	6	6	6	"na"	"na"	
"PI_178971_LSP"	"PI_178971_LSP_AGL"	"KP:GERM28952"	"Germplasm_Accession"	"Turkey"	"Lens_culinaris"	6	6	6	41.676859	27.068732	"From Inece Bucagi, Kirklareli."
"PI_426202_LSP"	"PI_426202_LSP_AGL"	"KP:GERM29053"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"	6	6	6	36.7	67.1	
"ILL_1762"	"ILL_1762_AGL"	"KP:GERM28880"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"		6	6	35.0167	69.125	
"ILL_213"	"ILL_213_AGL"	"KP:GERM28882"	"Germplasm_Accession"	"Afghanistan"	"Lens_culinaris"		6	6	32.3667	62.1167	
"ILL_5888"	"ILL_5888_AGL"	"KP:GERM28911"	"Germplasm_Accession"	"Bangladesh"	"Lens_culinaris"			7	"na"	"na"	
"CN_105715-merged"	"CN_105715_AGL"	"KP:GERM28846"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"			7	"na"	"na"	
"GUDO"	"Gudo_AGL"	"KP:GERM28863"	"Germplasm_Accession"	"Ethiopia"	"Lens_culinaris"			7	"na"	"na"	
"PI_297767"	"PI_297767_AGL"	"KP:GERM28984"	"Germplasm_Accession"	"Greece"	"Lens_culinaris"	7	7	7	"na"	"na"	
"PI_420818"	"PI_420818_AGL"	"KP:GERM29049"	"Germplasm_Accession"	"Greece"	"Lens_culinaris"			7	"na"	"na"	
"ILL_4665"	"ILL_4665_AGL"	"KP:GERM28896"	"Germplasm_Accession"	"Hungary"	"Lens_culinaris"			7	"na"	"na"	
"ILL_7558"	"ILL_7558_AGL"	"KP:GERM28921"	"Germplasm_Accession"	"India"	"Lens_culinaris"			7	"na"	"na"	
"ILL_7716"	"ILL_7716_AGL"	"KP:GERM28924"	"Germplasm_Accession"	"India"	"Lens_culinaris"			7	"na"	"na"	
"ILL_8072"	"ILL_8072_AGL"	"KP:GERM28932"	"Germplasm_Accession"	"India"	"Lens_culinaris"		7	7	"na"	"na"	"Syria"
"LIRL-22-46"	"LIRL-22-46_AGL"	"KP:GERM28945"	"Germplasm_Accession"	"India"	"Lens_culinaris"			7	"na"	"na"	
"PI_431633_LSP"	"PI_431633_LSP_AGL"	"KP:GERM29061"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			7	"na"	"na"	
"PI_432106_LSP"	"PI_432106_LSP_AGL"	"KP:GERM29093"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			7	"na"	"na"	
"PI_298921"	"PI_298921_AGL"	"KP:GERM28995"	"Germplasm_Accession"	"Italy"	"Lens_culinaris"			7	"na"	"na"	
"PI_472615_LSP"	"PI_472615_LSP_AGL"	"KP:GERM29123"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"			7	"na"	"na"	
"PI_283604_LSP"	"PI_283604_LSP_AGL"	"KP:GERM28976"	"Germplasm_Accession"	"Portugal"	"Lens_culinaris"	7	7	7	"na"	"na"	
"PI_298644_LSP"	"PI_298644_LSP_AGL"	"KP:GERM28993"	"Germplasm_Accession"	"Spain"	"Lens_culinaris"		7	7	"na"	"na"	
"PI_298645"	"PI_298645_AGL"	"KP:GERM28994"	"Germplasm_Accession"	"Spain"	"Lens_culinaris"			7	"na"	"na"	
"ILL_4400"	"ILL_4400_AGL"	"KP:GERM28893"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"			7	"na"	"na"	
"ILL_6853"	"ILL_6853_AGL"	"KP:GERM28919"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"		7	7	"na"	"na"	
"PI_181886_LSP"	"PI_181886_LSP_AGL"	"KP:GERM28956"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"		7	7	"na"	"na"	
"CN_105862"	"CN_105862_AGL"	"KP:GERM28852"	"Germplasm_Accession"	"Tunisia"	"Lens_culinaris"		7	7	"na"	"na"	
"CN_105865"	"CN_105865_AGL"	"KP:GERM28855"	"Germplasm_Accession"	"Tunisia"	"Lens_culinaris"	7	7	7	"na"	"na"	
"CN_105866"	"CN_105866_AGL"	"KP:GERM29021"	"Germplasm_Accession"	"Tunisia"	"Lens_culinaris"		7	7	"na"	"na"	
"ILL_10657"	"ILL_10657_AGL"	"KP:GERM28870"	"Germplasm_Accession"	"Turkey"	"Lens_culinaris"	7	7	7	"na"	"na"	
"ILL_5722"	"ILL_5722_AGL"	"KP:GERM28909"	"Germplasm_Accession"	"Turkey"	"Lens_culinaris"			7	"na"	"na"	
"PI_379368_LSP"	"PI_379368_LSP_AGL"	"KP:GERM29047"	"Germplasm_Accession"	"Serbia"	"Lens_culinaris"			7	44.223611	20.311667	
"PI_370481_LSP"	"PI_370481_LSP_AGL"	"KP:GERM29041"	"Germplasm_Accession"	"Serbia"	"Lens_culinaris"		7	7	42.993333	20.521111	
"ILL_5058"	"ILL_5058_AGL"	"KP:GERM28904"	"Germplasm_Accession"	"Spain"	"Lens_culinaris"			7	40.8667	-1.93333	
"PI_533688_LSP"	"PI_533688_LSP_AGL"	"KP:GERM29131"	"Germplasm_Accession"	"Spain"	"Lens_culinaris"			7	37.583333	-4.633333	
"PI_329167_LSP"	"PI_329167_LSP_AGL"	"KP:GERM29029"	"Germplasm_Accession"	"Iran"	"Lens_culinaris"			7	35.233333	58.416667	
"ILL_28"	"ILL_28_AGL"	"KP:GERM28886"	"Germplasm_Accession"	"Syria"	"Lens_culinaris"		7	7	34.7333	36.7	
"PI_302398_LSP"	"PI_302398_LSP_AGL"	"KP:GERM29014"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"			7	32.555556	35.85	
"PI_420924_LSP"	"PI_420924_LSP_AGL"	"KP:GERM29050"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"		7	7	32.1	35.73	
"PI_374120_LSP"	"PI_374120_LSP_AGL"	"KP:GERM29045"	"Germplasm_Accession"	"Morocco"	"Lens_culinaris"			7	31.75	-8.25	
"PI_374121"	"PI_374121_AGL"	"KP:GERM29046"	"Germplasm_Accession"	"Morocco"	"Lens_culinaris"			7	31.75	-8.25	
"ILL_9"	"ILL_9_AGL"	"KP:GERM28935"	"Germplasm_Accession"	"Jordan"	"Lens_culinaris"			7	31.2667	35.7333	
"ILL_4605"	"ILL_4605_AGL"	"KP:GERM28894"	"Germplasm_Accession"	"Argentina"	"Lens_culinaris"			7			
"PI_297287"	"PI_297287_AGL"	"KP:GERM28982"	"Germplasm_Accession"	"Argentina"	"Lens_culinaris"			7			
"PI_299163_LSP"	"PI_299163_LSP_AGL"	"KP:GERM29002"	"Germplasm_Accession"	"Chile"	"Lens_culinaris"	7	7	7			
"PI_299164_LSP"	"PI_299164_LSP_AGL"	"KP:GERM29003"	"Germplasm_Accession"	"Chile"	"Lens_culinaris"			7			
"PI_299165"	"PI_299165_AGL"	"KP:GERM29004"	"Germplasm_Accession"	"Chile"	"Lens_culinaris"		7	7			
